file,mae,mse,rmse,mape,smape
test_results_10000681.csv,14.31,0.1,0.06,-0.2,-0.01
test_results_10103583.csv,-6.26,-12.6,-5.76,18.2,-15.44
test_results_10120922.csv,24.41,-106.91,-42.66,62.91,-6.83
test_results_10099452.csv,53.4,0.06,61.08,,0.0
test_results_10005046.csv,52.79,1.82,3.15,,0.0
test_results_10094923.csv,53.73,0.06,61.36,,0.0
test_results_10085571.csv,-335.31,-1149.94,-251.15,78.17,-0.14
test_results_10103243.csv,53.4,0.06,61.08,,0.0
test_results_10023727.csv,49.67,-52.57,-23.08,,0.0
test_results_10100646.csv,54.08,-6906.78,-751.26,,0.0
test_results_10099406.csv,53.4,0.06,61.08,,0.0
test_results_10118402.csv,52.94,15.68,17.59,,0.0
test_results_10098851.csv,49.27,-1469.64,-289.83,,0.0
test_results_10045252.csv,53.4,0.06,61.08,,0.0
test_results_10119318.csv,53.73,0.06,61.36,,0.0
test_results_10005060.csv,0.34,0.28,0.14,-0.0,-0.0
test_results_10116430.csv,49.27,0.06,56.0,,0.0
test_results_10002341.csv,21.34,-60.08,-27.69,-190.76,-19.4
test_results_10036332.csv,53.4,0.06,61.08,,0.0
test_results_10092237.csv,49.64,0.06,56.33,,0.0
test_results_10024375.csv,52.76,-553.87,-152.84,,0.0
test_results_10036335.csv,52.17,-31133.46,-1674.77,,0.0
test_results_10089817.csv,53.4,0.06,61.08,,0.0
test_results_10044783.csv,48.15,-23.85,-12.13,,0.0
test_results_10132193.csv,2.06,-9.29,-4.4,-193.48,-4.2
test_results_10037493.csv,53.4,0.06,61.08,,0.0
test_results_10000593.csv,80.97,-188676.17,-4487.62,,0.0
test_results_10109544.csv,49.27,0.06,56.0,,0.0
test_results_10114189.csv,0.68,1.79,0.91,2.66,-0.01
test_results_10044782.csv,51.29,-1.13,8.41,,0.0
test_results_10098852.csv,47.76,38.76,29.66,,0.0
test_results_10133599.csv,53.4,0.06,61.08,,0.0
test_results_10120304.csv,53.4,0.06,61.08,,0.0
test_results_10125751.csv,53.4,0.06,61.08,,0.0
test_results_10114430.csv,53.73,0.06,61.36,,0.0
test_results_10097267.csv,-36.48,-19.32,-8.76,68.07,-3.53
test_results_10022542.csv,17.97,-13.66,-6.47,55.8,-4.85
test_results_10036543.csv,2.3,1.22,0.62,-0.02,-0.0
test_results_10001732.csv,0.76,1.1,0.6,-0.0,0.0
test_results_10113827.csv,31.81,-1.27,-0.67,46.9,-0.05
test_results_10002010.csv,53.4,0.06,61.08,,0.0
test_results_10100574.csv,49.64,0.06,56.33,,0.0
test_results_10023855.csv,35.58,-1006.28,-232.35,32.28,-1.19
test_results_10126369.csv,7.84,0.03,0.0,-0.01,-0.0
test_results_10099455.csv,53.4,0.06,61.08,,0.0
test_results_10088271.csv,53.73,0.06,61.36,,0.0
test_results_10036351.csv,50.3,-39576.18,-1937.2,,0.0
test_results_10109548.csv,49.64,0.06,56.33,,0.0
test_results_10032121.csv,49.96,-2917.2,-446.58,,0.0
test_results_10119395.csv,49.64,0.06,56.33,,0.0
test_results_10107013.csv,49.64,0.06,56.33,,0.0
test_results_10000346.csv,52.83,-14929.68,-1121.41,,0.0
test_results_10116491.csv,53.4,0.06,61.08,,0.0
test_results_10119493.csv,24.48,-390.09,-122.79,-145.81,-20.52
test_results_10085812.csv,53.73,0.06,61.36,,0.0
test_results_10000705.csv,25.61,-375.49,-113.83,,0.0
test_results_10103582.csv,-26.96,-977.68,-228.24,-301.4,-16.04
test_results_10098284.csv,53.4,0.06,61.08,,0.0
test_results_10036988.csv,48.56,0.07,60.32,,0.0
test_results_10037489.csv,53.62,-4.14,3.5,,0.0
test_results_10097276.csv,-11.98,11.29,5.8,44.98,-5.04
test_results_10001187.csv,19.68,-387.42,-126.3,47.27,-4.58
test_results_10000334.csv,5.73,0.6,0.29,2.68,-0.01
test_results_10124646.csv,53.73,0.06,61.36,,0.0
test_results_10108145.csv,54.19,1.54,61.45,,0.0
test_results_10005065.csv,15.37,-184.89,-69.46,-417.15,-23.75
test_results_10102094.csv,34.29,-470.28,-138.77,26.92,-6.15
test_results_10037134.csv,49.95,0.07,58.0,,0.0
test_results_10109545.csv,49.27,0.06,56.0,,0.0
test_results_10120923.csv,55.32,-45.3,-19.89,,0.0
test_results_10099375.csv,53.4,0.06,61.08,,0.0
test_results_10001205.csv,1.35,0.01,0.0,-0.0,-0.0
test_results_10108557.csv,67.95,-7.16,-4.66,,0.0
test_results_10121786.csv,10.14,-60.71,-26.9,-11.54,-4.19
test_results_10100349.csv,53.4,0.06,61.08,,0.0
test_results_10100645.csv,49.64,0.06,56.33,,0.0
test_results_10120350.csv,55.34,-47313.43,-2147.94,,0.0
test_results_10112591.csv,0.72,0.37,0.19,-0.01,-0.0
test_results_10135326.csv,53.73,0.06,61.36,,0.0
test_results_10136726.csv,53.4,0.06,61.08,,0.0
test_results_10000325.csv,3.53,0.04,0.02,-0.01,0.0
test_results_10039089.csv,53.73,0.06,61.36,,0.0
test_results_10001133.csv,4.15,-14.29,-6.59,-299.4,-40.13
test_results_10107123.csv,53.73,1.54,56.33,,0.0
test_results_10107122.csv,49.27,0.06,56.0,,0.0
test_results_10109499.csv,53.17,0.06,61.12,,0.0
test_results_10112410.csv,53.73,0.06,61.36,,0.0
test_results_10108300.csv,49.27,0.06,56.0,,0.0
test_results_10132190.csv,53.4,0.06,61.08,,0.0
test_results_10001129.csv,-186.23,-6951.95,-736.55,-2065.45,-33.26
test_results_10102022.csv,-60.72,-40.94,-18.02,-330.66,-41.37
test_results_10001606.csv,50.29,-34586.17,-1787.12,,0.0
test_results_10118276.csv,53.73,0.06,61.36,,0.0
test_results_10022564.csv,0.09,0.21,0.11,-0.01,-0.0
test_results_10099379.csv,40.14,-158.6,-60.61,-217.39,-13.17
test_results_10110911.csv,67.89,-309.77,-101.76,,0.0
test_results_10107950.csv,57.29,-19749.66,-1319.59,,0.0
test_results_10021076.csv,0.88,1.88,0.95,-0.02,-0.0
test_results_10000326.csv,7.38,-1.04,-0.56,-0.99,-0.03
test_results_10044784.csv,42.33,-1177.9,-255.09,,0.0
test_results_10089815.csv,49.27,3.85,61.08,,0.0
test_results_10127158.csv,53.73,0.06,61.36,,0.0
test_results_10000338.csv,51.73,-3770.36,-514.31,,0.0
test_results_10114202.csv,0.31,0.92,0.48,-0.02,-0.0
test_results_10097997.csv,53.4,0.06,61.08,,0.0
test_results_10001213.csv,8.2,-11.51,-5.59,-59.75,-23.24
test_results_10001442.csv,3.2,-16938.75,-1228.9,-3146.59,-13.3
test_results_10036931.csv,20.99,-14.04,-6.66,58.41,-3.77
test_results_10001930.csv,-66.59,-154.2,-58.72,-19.52,-6.99
test_results_10099466.csv,53.4,0.06,61.08,,0.0
test_results_10100644.csv,49.64,0.06,56.33,,0.0
test_results_10108651.csv,53.17,0.06,61.12,,0.0
test_results_10113822.csv,49.27,-1.43,56.0,,0.0
test_results_10130819.csv,48.92,-236.29,-76.52,,0.0
test_results_10001185.csv,6.9,-3.85,-1.88,-21.43,-41.68
test_results_10108130.csv,53.16,-30773.34,-1689.92,,0.0
test_results_10120306.csv,2.31,6.81,3.54,-0.55,-0.09
test_results_10119666.csv,52.14,-159.6,-54.36,,0.0
test_results_10044469.csv,51.0,-15430.28,-1168.99,,0.0
test_results_10098866.csv,40.7,-173.49,-66.09,,0.0
test_results_10098346.csv,53.4,0.06,61.08,,0.0
test_results_10000362.csv,53.4,0.06,61.08,,0.0
test_results_10108437.csv,53.73,0.06,61.36,,0.0
test_results_10098468.csv,23.04,-494.56,-156.27,-1.13,-0.03
test_results_10035313.csv,20.26,-39.64,-17.9,-70.93,-31.68
test_results_10001443.csv,1.41,0.82,0.42,-0.03,-0.0
test_results_10000335.csv,43.15,-739.85,-187.97,,0.0
test_results_10000314.csv,0.76,0.51,0.26,-0.01,-0.0
test_results_10000591.csv,-278.41,-9503.55,-874.37,-2569.92,-26.15
test_results_10099482.csv,9.16,0.8,0.41,21.9,-6.2
test_results_10033307.csv,0.5,0.14,0.08,-0.0,-0.0
test_results_10024297.csv,49.27,0.06,56.0,,0.0
test_results_10113279.csv,-0.7,-9.79,-4.95,-216.87,-41.07
test_results_10125753.csv,53.4,0.06,61.08,,0.0
test_results_10088272.csv,49.27,0.06,61.08,,0.0
test_results_10099459.csv,53.4,0.06,61.08,,0.0
test_results_10098853.csv,54.64,-72.85,-7.97,,0.0
test_results_10002054.csv,51.87,-58972.0,-2364.75,,0.0
test_results_10119319.csv,0.32,0.41,0.21,-0.0,-0.0
test_results_10001258.csv,-15.48,-99.83,-43.13,54.36,-6.31
test_results_10122864.csv,53.73,0.06,61.36,,0.0
test_results_10115257.csv,53.73,0.06,61.36,,0.0
test_results_10099485.csv,12.36,5.09,2.61,-2.73,-5.35
test_results_10001061.csv,38.92,-484.79,-143.29,-3.28,-0.17
test_results_10108257.csv,53.73,0.06,61.36,,0.0
test_results_10121788.csv,3.01,-16.61,-8.58,36.19,-0.76
test_results_10091747.csv,28.47,-2920.28,-475.77,28.93,-0.07
test_results_10032119.csv,74.94,-11433.72,-976.72,,0.0
test_results_10034295.csv,49.27,0.06,56.0,,0.0
test_results_10120893.csv,6.21,-0.0,-0.43,-0.51,-0.01
test_results_10094527.csv,53.73,0.06,61.36,,0.0
test_results_10001134.csv,51.56,-22910.72,-1404.43,,0.0
test_results_10098347.csv,53.4,0.06,61.08,,0.0
test_results_10000357.csv,2.2,3.7,1.87,3.79,-0.01
test_results_10001253.csv,53.29,-28736.81,-1610.87,,0.0
test_results_10000331.csv,5.6,2.68,1.33,7.12,-0.03
test_results_10001705.csv,28.18,-400.71,-125.67,-104.78,-21.15
test_results_10021121.csv,5.35,-41.73,-18.67,-274.13,-38.7
test_results_10025990.csv,27.89,-982.14,-238.45,37.52,0.09
test_results_10121682.csv,49.64,0.06,56.33,,0.0
test_results_10036234.csv,1.69,14.47,7.57,-27.28,-24.07
test_results_10000701.csv,51.21,-857.64,-192.04,,0.0
test_results_10013181.csv,40.88,7.49,27.01,,0.0
test_results_10001611.csv,7.28,-2.37,-1.08,3.77,-0.0
test_results_10001260.csv,0.13,0.83,0.44,26.61,-0.33
test_results_10002446.csv,53.4,0.06,61.08,,0.0
test_results_10002343.csv,0.68,0.25,0.09,2.94,-0.02
test_results_10095583.csv,53.26,0.05,60.92,,0.0
test_results_10100643.csv,53.36,-34436.73,-1805.27,,0.0
test_results_10093599.csv,-93.61,-332636.62,-5795.55,,0.0
test_results_10125752.csv,53.4,0.06,61.08,,0.0
test_results_10108247.csv,49.42,-176.21,-71.37,,0.0
test_results_10119494.csv,-54.39,-782.08,-193.36,-1126.85,-29.42
test_results_10002160.csv,-23.36,-528.41,-149.01,-328.23,-30.33
test_results_10097278.csv,32.81,-289.63,-97.43,51.16,-4.26
test_results_10108251.csv,52.08,5.64,24.84,,0.0
test_results_10119380.csv,53.73,0.06,56.33,,0.0
test_results_10109541.csv,53.4,0.06,61.08,,0.0
test_results_10106724.csv,53.4,0.06,61.08,,0.0
test_results_10037485.csv,53.4,0.06,61.08,,0.0
test_results_10001214.csv,3.09,-28.13,-13.48,-55.77,-21.32
test_results_10001078.csv,19.76,-14.24,-7.03,25.99,-3.71
test_results_10000996.csv,51.2,3.82,-6.1,,0.0
test_results_10002166.csv,53.73,1.54,56.33,,0.0
test_results_10125819.csv,49.27,0.06,56.0,,0.0
test_results_10046945.csv,49.64,1.54,61.36,,0.0
test_results_10001534.csv,53.4,0.06,61.08,,0.0
test_results_10036870.csv,52.75,0.07,60.32,,0.0
test_results_10025127.csv,6.41,-140.76,-55.55,-261.07,-53.44
test_results_10095594.csv,53.4,0.06,61.08,,0.0
test_results_10038327.csv,50.6,-42882.94,-2052.59,,0.0
test_results_10021251.csv,0.76,0.29,0.15,-0.51,-0.04
test_results_10105736.csv,53.4,0.06,61.08,,0.0
test_results_10107853.csv,53.4,0.06,61.08,,0.0
